País,Coffee type,Total_production ,Year
Brazil,Arabica/Robusta,2854680000.0,1999
Burundi,Arabica/Robusta,21060000.0,1999
Ecuador,Arabica/Robusta,71880000.0,1999
Indonesia,Robusta/Arabica,393420000.0,1999
Madagascar,Robusta,25620000.0,1999
Malawi,Arabica,3540000.0,1999
Papua New Guinea,Arabica/Robusta,83220000.0,1999
Paraguay,Arabica,1140000.0,1999
Peru,Arabica,164640000.0,1999
Rwanda,Arabica,18420000.0,1999
Timor-Leste,Arabica,0.0,1999
Zimbabwe,Arabica,7500000.0,1999
Congo,Robusta,180000.0,1999
Cuba,Arabica,19680000.0,1999
Dominican Republic,Arabica/Robusta,36420000.0,1999
Haiti,Arabica,23940000.0,1999
Philippines,Robusta/Arabica,37320000.0,1999
Tanzania,Arabica/Robusta,50520000.0,1999
Zambia,Arabica,3540000.0,1999
Cameroon,Robusta/Arabica,82200000.0,1999
Central African Republic,Robusta,14460000.0,1999
Colombia,Arabica,570720000.0,1999
Costa Rica,Arabica,149100000.0,1999
Côte d'Ivoire,Robusta,379200000.0,1999
Democratic Republic of Congo,Robusta/Arabica,28620000.0,1999
El Salvador,Arabica,155880000.0,1999
Equatorial Guinea,Robusta,0.0,1999
Ethiopia,Arabica,227040000.0,1999
Gabon,Robusta,120000.0,1999
Ghana,Robusta,5340000.0,1999
Guatemala,Arabica/Robusta,307200000.0,1999
Guinea,Robusta,21840000.0,1999
Guyana,Robusta,300000.0,1999
Honduras,Arabica,179100000.0,1999
India,Robusta/Arabica,292020000.0,1999
Jamaica,Arabica,2280000.0,1999
Kenya,Arabica,90120000.0,1999
Lao People's Democratic Republic,Robusta,14340000.0,1999
Liberia,Robusta,720000.0,1999
Mexico,Arabica/Robusta,373140000.0,1999
Nepal,Arabica,0.0,1999
Nicaragua,Arabica,93240000.0,1999
Nigeria,Robusta,2700000.0,1999
Panama,Arabica,9960000.0,1999
Sierra Leone,Robusta,3540000.0,1999
Sri Lanka,Robusta/Arabica,1920000.0,1999
Thailand,Robusta/Arabica,76380000.0,1999
Togo,Robusta,15780000.0,1999
Trinidad & Tobago,Robusta,1020000.0,1999
Uganda,Robusta/Arabica,171720000.0,1999
Venezuela,Arabica,82020000.0,1999
Viet Nam,Robusta/Arabica,697860000.0,1999
Yemen,Arabica,3660000.0,1999
Angola,Robusta/Arabica,3000000.0,2000
Bolivia (Plurinational State of),Arabica,8880000.0,2000
Brazil,Arabica/Robusta,1878600000.0,2000
Burundi,Arabica/Robusta,29220000.0,2000
Ecuador,Arabica/Robusta,51240000.0,2000
Indonesia,Robusta/Arabica,419220000.0,2000
Madagascar,Robusta,21720000.0,2000
Malawi,Arabica,3780000.0,2000
Papua New Guinea,Arabica/Robusta,62460000.0,2000
Paraguay,Arabica,1320000.0,2000
Peru,Arabica,160560000.0,2000
Rwanda,Arabica,16380000.0,2000
Timor-Leste,Arabica,420000.0,2000
Zimbabwe,Arabica,6540000.0,2000
Congo,Robusta,180000.0,2000
Cuba,Arabica,18720000.0,2000
Dominican Republic,Arabica/Robusta,28020000.0,2000
Haiti,Arabica,25200000.0,2000
Philippines,Robusta/Arabica,20460000.0,2000
Tanzania,Arabica/Robusta,48540000.0,2000
Zambia,Arabica,5580000.0,2000
Cameroon,Robusta/Arabica,66780000.0,2000
Central African Republic,Robusta,6780000.0,2000
Colombia,Arabica,631140000.0,2000
Costa Rica,Arabica,145140000.0,2000
Côte d'Ivoire,Robusta,290760000.0,2000
Democratic Republic of Congo,Robusta/Arabica,21780000.0,2000
El Salvador,Arabica,102240000.0,2000
Equatorial Guinea,Robusta,0.0,2000
Ethiopia,Arabica,186900000.0,2000
Gabon,Robusta,0.0,2000
Ghana,Robusta,4560000.0,2000
Guatemala,Arabica/Robusta,296400000.0,2000
Guinea,Robusta,24000000.0,2000
Guyana,Robusta,180000.0,2000
Honduras,Arabica,160020000.0,2000
India,Robusta/Arabica,301200000.0,2000
Jamaica,Arabica,2220000.0,2000
Kenya,Arabica,60120000.0,2000
Lao People's Democratic Republic,Robusta,12720000.0,2000
Liberia,Robusta,720000.0,2000
Mexico,Arabica/Robusta,288900000.0,2000
Nepal,Arabica,0.0,2000
Nicaragua,Arabica,94320000.0,2000
Nigeria,Robusta,2940000.0,2000
Panama,Arabica,10200000.0,2000
Sierra Leone,Robusta,2940000.0,2000
Sri Lanka,Robusta/Arabica,1980000.0,2000
Thailand,Robusta/Arabica,101520000.0,2000
Togo,Robusta,11820000.0,2000
Trinidad & Tobago,Robusta,960000.0,2000
Uganda,Robusta/Arabica,204060000.0,2000
Venezuela,Arabica,87000000.0,2000
Viet Nam,Robusta/Arabica,890460000.0,2000
Yemen,Arabica,3840000.0,2000
Angola,Robusta/Arabica,1260000.0,2001
Bolivia (Plurinational State of),Arabica,5640000.0,2001
Brazil,Arabica/Robusta,1881900000.0,2001
Burundi,Arabica/Robusta,8640000.0,2001
Ecuador,Arabica/Robusta,47580000.0,2001
Indonesia,Robusta/Arabica,409980000.0,2001
Madagascar,Robusta,8820000.0,2001
Malawi,Arabica,3600000.0,2001
Papua New Guinea,Arabica/Robusta,63780000.0,2001
Paraguay,Arabica,1320000.0,2001
Peru,Arabica,169740000.0,2001
Rwanda,Arabica,17760000.0,2001
Timor-Leste,Arabica,1980000.0,2001
Zimbabwe,Arabica,7260000.0,2001
Congo,Robusta,180000.0,2001
Cuba,Arabica,17100000.0,2001
Dominican Republic,Arabica/Robusta,23220000.0,2001
Haiti,Arabica,24180000.0,2001
Philippines,Robusta/Arabica,15780000.0,2001
Tanzania,Arabica/Robusta,37440000.0,2001
Zambia,Arabica,6000000.0,2001
Cameroon,Robusta/Arabica,41160000.0,2001
Central African Republic,Robusta,4080000.0,2001
Colombia,Arabica,717000000.0,2001
Costa Rica,Arabica,134820000.0,2001
Côte d'Ivoire,Robusta,215760000.0,2001
Democratic Republic of Congo,Robusta/Arabica,25380000.0,2001
El Salvador,Arabica,101640000.0,2001
Equatorial Guinea,Robusta,0.0,2001
Ethiopia,Arabica,242640000.0,2001
Gabon,Robusta,60000.0,2001
Ghana,Robusta,420000.0,2001
Guatemala,Arabica/Robusta,220140000.0,2001
